author,upvotes,label
73957,91,none
73957,269,none
73957,220,none
73957,102,good
73957,75,none
73957,205,good
73957,252,none
73957,233,none
73957,64,none
73957,296,good
73957,206,none
73957,183,none
73957,207,none
73957,84,good
73957,270,none
73957,240,none
79651,106,none
79651,125,none
79651,164,none
79651,203,none
79651,295,none
79651,162,none
79651,162,none
79651,92,none
79651,255,none
79651,159,none
79651,227,none
79651,142,none
79651,77,none
79651,62,none
79651,116,none
79651,168,none
79651,85,none
79651,209,none
79651,182,none
79651,105,none
79651,100,none
79651,284,none
79651,235,none
79651,227,none
79651,113,none
79651,121,none
79651,297,none
79651,124,none
79651,173,none
79651,123,none
79651,245,none
79651,58,none
79651,287,none
79651,284,none
79651,243,none
79651,257,none
79651,211,none
79651,247,none
79651,147,none
79651,298,none
79651,213,none
79651,193,none
79651,193,none
79651,205,none
79651,57,none
79651,177,none
79651,195,none
79651,183,none
79651,61,none
79651,189,none
79651,97,none
79651,204,none
79651,263,none
79651,144,none
79651,93,none
79651,112,none
79651,270,none
79651,285,none
79651,151,none
79651,119,none
79651,91,none
79651,268,none
79651,250,none
92912,42,none
92912,46,none
92912,34,none
92912,133,none
92912,118,none
92912,105,none
92912,132,none
92912,95,none
92912,64,none
92912,123,none
92912,60,none
92912,126,none
92912,79,none
92912,120,none
92912,62,none
92912,34,none
92912,81,none
92912,103,none
92912,142,none
92912,35,none
92912,42,none
92912,126,none
92912,46,none
92912,120,none
92912,25,none
92912,73,none
92912,44,none
92912,79,none
92912,121,none
92912,78,none
92912,50,none
92912,139,none
92912,86,none
92912,32,none
92912,36,none
92912,133,none
92912,36,none
92912,105,none
92912,73,none
92912,84,none
92912,77,none
92912,85,none
92912,79,none
92912,29,none
92912,111,none
92912,143,none
92912,38,none
92912,78,none
92912,56,none
92912,138,none
92912,121,none
92912,105,none
92912,91,none
92912,96,none
92912,80,none
92912,93,none
92912,33,none
92912,68,none
92912,134,none
92912,144,none
92912,52,none
92912,99,none
92912,72,none
92912,67,none
92912,59,none
92912,43,none
92912,139,none
92912,96,none
92912,139,none
92912,132,none
92912,124,none
92912,143,none
32282,47,none
32282,57,none
32282,28,none
32282,55,none
32282,16,none
32282,35,none
32282,23,none
32282,41,none
32282,13,none
32282,46,none
32282,26,none
32282,50,none
32282,65,none
32282,70,none
32282,17,none
32282,67,none
32282,56,none
32282,60,none
32282,25,none
32282,34,none
32282,17,none
32282,61,none
32282,73,none
32282,48,none
32282,22,none
32282,47,none
32282,70,none
32282,74,none
32282,52,none
32282,65,none
32282,70,none
32282,25,none
32282,45,none
32282,71,none
32282,68,none
32282,37,none
32282,16,none
32282,29,none
32282,69,none
32282,58,none
32282,22,none
32282,70,none
32304,16,none
32304,11,none
32304,10,none
32304,11,none
32304,13,spam
32304,6,none
32304,12,spam
32304,17,none
32304,4,none
32304,20,none
32304,13,none
32304,8,none
32304,9,none
32304,7,none
32304,9,none
32304,6,none
32304,18,none
32304,22,none
32304,14,spam
32304,19,spam
32304,10,none
32304,12,none
32304,13,none
32304,15,none
32304,10,none
32304,12,none
32304,6,none
32304,9,none
32304,22,none
32304,22,none
32304,20,none
32304,18,none
32304,12,none
32304,8,none
32304,5,none
32304,6,none
32304,12,none
32304,8,none
32304,22,none
32304,17,none
32304,23,none
32304,10,none
32304,12,none
32304,5,none
32304,18,none
32304,12,none
32304,8,none
32304,9,none
32304,20,none
32304,20,none
32304,11,none
32304,19,none
32304,20,none
32304,23,none
32304,15,none
32304,18,none
32304,14,none
32304,17,none
32304,22,none
32304,5,none
32304,13,none
32304,23,none
32304,22,none
32304,12,none
32304,5,none
32304,10,none
32304,17,none
32304,14,none
32304,20,none
32304,11,none
32304,9,none
32304,21,none
32304,7,none
32304,22,none
32304,13,spam
32304,9,none
32304,16,none
32304,20,none
32304,16,none
32304,12,none
32304,8,spam
32304,12,none
32304,21,none
32304,6,none
32304,16,none
32304,12,none
32304,5,none
32304,18,none
32304,8,spam
32304,18,none
32304,5,spam
32304,18,spam
32304,13,none
32304,14,none
32304,13,none
32304,13,none
32304,18,none
32304,21,none
32304,23,none
32304,22,none
32304,19,none
32304,22,none
32304,23,none
32304,10,spam
32304,4,none
32304,16,none
32304,12,spam
32304,10,spam
32304,6,none
32304,14,none
32304,7,none
32304,4,none
32304,15,none
32304,16,none
32304,14,none
32304,15,none
32304,16,none
32304,9,none
32304,8,none
32304,15,none
32304,6,none
32304,16,none
32304,6,none
32304,17,none
32304,14,spam
32304,18,none
32304,6,spam
32304,10,spam
32304,20,none
32304,6,spam
32304,10,none
32304,14,spam
32304,9,none
32304,13,none
32304,17,none
32304,14,none
32304,19,none
32304,21,none
32304,22,none
32304,5,none
32304,9,none
32304,19,none
32304,8,none
32304,9,none
32304,11,none
32304,21,none
32304,11,none
32304,17,spam
32304,11,none
32304,20,none
32304,21,none
32304,19,none
32304,10,none
32304,19,spam
32304,19,spam
32304,22,none
32304,14,none
32304,13,none
32304,20,none
32304,10,none
32304,7,none
32304,14,none
32304,23,none
32304,4,none
32304,13,none
32304,5,none
32304,21,none
32304,5,none
32304,22,none
32304,12,none
32304,12,none
32304,7,none
32304,23,none
32304,13,spam
32304,18,none
32304,16,none
32304,19,none
32304,18,none
32304,18,none
32304,20,none
32304,6,none
32304,7,none
32304,11,none
32304,4,none
32304,16,none
32304,12,none
32304,12,none
32304,18,none
32304,23,none
32304,23,none
32304,19,spam
32304,14,spam
32304,5,none
32304,23,none
32304,18,none
32304,16,none
32304,22,none
